time,close
2015-03-09 09:30,3440.666
2015-03-09 09:40,3433.686
2015-03-09 09:50,3431.311
2015-03-09 10:00,3420.064
2015-03-09 10:10,3427.956
2015-03-09 10:20,3426.27
2015-03-09 10:30,3439.51
2015-03-09 10:40,3434.31
2015-03-09 10:50,3435.124
2015-03-09 11:00,3428.66
2015-03-09 11:10,3424.652
2015-03-09 11:20,3430.246
2015-03-09 13:00,3434.254
2015-03-09 13:10,3439.821
2015-03-09 13:20,3451.782
2015-03-09 13:30,3465.249
2015-03-09 13:40,3472.054
2015-03-09 13:50,3496.384
2015-03-09 14:00,3497.524
2015-03-09 14:10,3501.491
2015-03-09 14:20,3527.407
2015-03-09 14:30,3539.265
2015-03-09 14:40,3545.733
2015-03-09 14:50,3540.13
2015-03-10 09:30,3519.135
2015-03-10 09:40,3520.476
2015-03-10 09:50,3526.362
2015-03-10 10:00,3518.557
2015-03-10 10:10,3523.145
2015-03-10 10:20,3512.818
2015-03-10 10:30,3519.429
2015-03-10 10:40,3519.932
2015-03-10 10:50,3525.106
2015-03-10 11:00,3521.422
2015-03-10 11:10,3518.553
2015-03-10 11:20,3518.179
2015-03-10 13:00,3535.47
2015-03-10 13:10,3528.415
2015-03-10 13:20,3528.175
2015-03-10 13:30,3528.347
2015-03-10 13:40,3545.831
2015-03-10 13:50,3537.507
2015-03-10 14:00,3541.243
2015-03-10 14:10,3532.38
2015-03-10 14:20,3533.419
2015-03-10 14:30,3524.612
2015-03-10 14:40,3521.787
2015-03-10 14:50,3516.913
2015-03-11 09:30,3535.987
2015-03-11 09:40,3549.515
2015-03-11 09:50,3559.746
2015-03-11 10:00,3550.213
2015-03-11 10:10,3559.755
2015-03-11 10:20,3564.822
2015-03-11 10:30,3557.851
2015-03-11 10:40,3553.228
2015-03-11 10:50,3547.584
2015-03-11 11:00,3555.002
2015-03-11 11:10,3548.428
2015-03-11 11:20,3545.477
2015-03-11 13:00,3532.936
2015-03-11 13:10,3533.756
2015-03-11 13:20,3533.229
2015-03-11 13:30,3525.6
2015-03-11 13:40,3528.855
2015-03-11 13:50,3518.486
2015-03-11 14:00,3516.243
2015-03-11 14:10,3522.289
2015-03-11 14:20,3521.351
2015-03-11 14:30,3523.511
2015-03-11 14:40,3518.148
2015-03-11 14:50,3516.438
2015-03-12 09:30,3565.855
2015-03-12 09:40,3546.628
2015-03-12 09:50,3539.585
2015-03-12 10:00,3540.238
2015-03-12 10:10,3542.961
2015-03-12 10:20,3548.574
2015-03-12 10:30,3558.736
2015-03-12 10:40,3567.529
2015-03-12 10:50,3556.384
2015-03-12 11:00,3554.83
2015-03-12 11:10,3567.447
2015-03-12 11:20,3577.925
2015-03-12 13:00,3587
2015-03-12 13:10,3599.68
2015-03-12 13:20,3589.62
2015-03-12 13:30,3596.054
