time,x11,x12,x13,x21,x22,x23,x31,x32,x33
15/3/16 09:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/16 09:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/16 09:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/16 10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/16 10:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/16 10:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/16 10:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/16 10:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/16 10:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/16 11:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/16 11:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/16 11:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/16 13:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/16 13:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/16 13:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/16 13:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/16 13:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/16 13:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/16 14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/16 14:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/16 14:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/16 14:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/16 14:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/16 14:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/17 09:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/17 09:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/17 09:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/17 10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/17 10:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/17 10:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/17 10:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/17 10:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15/3/17 10:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
