time,ret,std
2015-03-23 10:10,-0.002895201,0.002950465
2015-03-23 10:20,-0.000166462,0.00295237
2015-03-23 10:30,0.002926806,0.002952391
2015-03-23 10:40,0.000615439,0.002958429
2015-03-23 10:50,-0.002888229,0.002958413
2015-03-23 11:00,0.000895597,0.002975546
2015-03-23 11:10,0.001915501,0.002974099
2015-03-23 11:20,0.002166492,0.002960442
2015-03-23 13:00,0.002093063,0.002963491
2015-03-23 13:10,8.46E-05,0.002918687
2015-03-23 13:20,-0.00432722,0.002913876
2015-03-23 13:30,-0.001106003,0.002942653
2015-03-23 13:40,0.002190575,0.002946219
2015-03-23 13:50,-0.003125217,0.002949766
2015-03-23 14:00,-0.001532777,0.002968973
2015-03-23 14:10,-0.000549877,0.002965133
2015-03-23 14:20,0.004706045,0.002962675
2015-03-23 14:30,0.000481616,0.002977921
2015-03-23 14:40,-0.000815295,0.002977711
2015-03-23 14:50,0.002789868,0.002978413
2015-03-24 09:30,0.001533256,0.002985072
2015-03-24 09:40,-0.001461151,0.002823743
2015-03-24 09:50,-0.001574637,0.00280474
2015-03-24 10:00,0.000344356,0.00281111
2015-03-24 10:10,0.00342649,0.002810946
2015-03-24 10:20,-0.001662137,0.00282331
2015-03-24 10:30,0.001193887,0.00281531
2015-03-24 10:40,0.003719071,0.002815952
2015-03-24 10:50,-0.013521236,0.002826978
2015-03-24 11:00,0.002522563,0.003098791
2015-03-24 11:10,-0.004075611,0.003104141
2015-03-24 11:20,-0.010817169,0.003120979
2015-03-24 13:00,0.008369521,0.003275436
2015-03-24 13:10,0.003973247,0.003345014
2015-03-24 13:20,-0.0015648,0.003361044
2015-03-24 13:30,0.004475745,0.003363776
2015-03-24 13:40,-0.001613551,0.003376383
2015-03-24 13:50,0.005797093,0.003379383
2015-03-24 14:00,-0.003343559,0.003377292
2015-03-24 14:10,0.000469587,0.00339509
2015-03-24 14:20,0.002196659,0.003359153
2015-03-24 14:30,0.003919429,0.003360953
2015-03-24 14:40,-0.002689851,0.00336953
2015-03-24 14:50,0.001445948,0.003379294
2015-03-25 09:30,-0.006055054,0.00337897
2015-03-25 09:40,0.005069304,0.003406618
2015-03-25 09:50,-0.002575797,0.003427764
2015-03-25 10:00,0.001322805,0.003424213
2015-03-25 10:10,-0.00325066,0.003411786
2015-03-25 10:20,0.002793925,0.003417625
2015-03-25 10:30,0.001565764,0.003423903
