time,mu1,mu2,mu3,sigma1,sigma2,sigma3
13/3/15 14:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/15 14:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/15 14:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/18 09:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/18 09:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/18 09:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/18 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/18 10:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/18 10:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/18 10:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/18 10:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/18 10:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/18 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/18 11:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/18 11:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/18 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/18 13:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/18 13:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/18 13:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/18 13:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/18 13:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/18 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/18 14:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/18 14:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/18 14:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/18 14:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/18 14:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/19 09:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/19 09:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/19 09:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/19 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/19 10:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/19 10:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/19 10:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/19 10:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/19 10:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/19 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/19 11:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/19 11:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/19 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/19 13:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/19 13:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/19 13:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/19 13:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/19 13:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/19 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/19 14:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/19 14:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/19 14:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/19 14:40,0.0,0.0,0.0,0.0,0.0,0.0
