time,x11,x12,x13,x21,x22,x23,x31,x32,x33
13/11/29 13:50,0.653616858325,0.00140016377893,0.344982977896,0.00675213985943,0.935088566078,0.058159294063,0.00602980049487,0.13474864008,0.859221559425
13/11/29 14:00,0.65330555498,0.00139588057791,0.345298564442,0.00673595273566,0.9350802146,0.0581838326647,0.00607861590409,0.134626179721,0.859295204375
13/11/29 14:10,0.653338152002,0.00141793418669,0.345243913811,0.00674713178007,0.935204658674,0.0580482095462,0.00605747964251,0.13447637544,0.859466144917
13/11/29 14:20,0.653158264927,0.00140868047751,0.345433054595,0.00675061126291,0.935254413402,0.0579949753354,0.00607747263408,0.134215285664,0.859707241702
13/11/29 14:30,0.652803376008,0.00141243151223,0.34578419248,0.00673426721482,0.93525595641,0.0580097763753,0.00612987762267,0.13407140597,0.859798716407
13/11/29 14:40,0.652610516221,0.00140663412566,0.345982849653,0.00673779028742,0.935278490605,0.0579837191076,0.00615563928259,0.133793752801,0.860050607916
13/11/29 14:50,0.652417598152,0.00140078713056,0.346181614717,0.0067412887944,0.935295312463,0.057963398743,0.00618234765747,0.13351447965,0.860303172693
13/12/2 09:30,0.652244965217,0.00139353011416,0.346361504669,0.00674444251682,0.935308562768,0.0579469947148,0.00620720523955,0.133255079571,0.86053771519
13/12/2 09:40,0.654417484739,0.0012961039636,0.344286411297,0.006740769851,0.934276421695,0.0589828084536,0.00604671158102,0.135401474744,0.858551813675
13/12/2 09:50,0.653723363394,0.00128178367415,0.344994852932,0.00668819676213,0.934275176319,0.0590366269192,0.00612398025655,0.13532219058,0.858553829163
13/12/2 10:00,0.655978375025,0.00152414585474,0.342497479121,0.00664875141403,0.934313409071,0.059037839515,0.00593079093502,0.136506737579,0.857562471486
13/12/2 10:10,0.655047001047,0.00155033251851,0.343402666434,0.00662150520422,0.934180988048,0.0591975067479,0.00591613958468,0.136737860467,0.857345999948
13/12/2 10:20,0.654075214402,0.00149494896567,0.344429836632,0.00663501938754,0.934524538666,0.0588404419468,0.00595400921592,0.135650542601,0.858395448183
