time,mu1,mu2,mu3,sigma1,sigma2,sigma3
13/4/16 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/16 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/16 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/17 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/17 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/17 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/17 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/18 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/18 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/18 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/18 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/19 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/19 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/19 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/19 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/22 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/22 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/22 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/22 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/23 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/23 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/23 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/23 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/24 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/24 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/24 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/24 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/25 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/25 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/25 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/25 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/26 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/26 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/26 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/4/26 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/2 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/2 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/2 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/2 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/3 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/3 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/3 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/3 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/6 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/6 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/6 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/6 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/7 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/7 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/7 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/7 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/8 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/8 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/8 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/8 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/9 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/9 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/9 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/9 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/10 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/10 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/10 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/10 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/13 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/13 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/13 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/13 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/14 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/14 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/14 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/14 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/15 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/15 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/15 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/15 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/16 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/16 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/16 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/16 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/17 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/17 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/17 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/17 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/20 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/20 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/20 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/20 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/21 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/21 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/21 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/21 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/22 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/22 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/22 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/22 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/23 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/23 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/23 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/23 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/24 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/24 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/24 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/24 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/27 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/27 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/27 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/27 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/28 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/28 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/28 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/28 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/29 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/29 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/29 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/29 14:00,0.0,0.0,0.0,0.0,0.0,0.0
