time,ret,std,label
15/3/16 10:00,0.00696206016319,0.00556506090872,intermediate
15/3/16 11:00,0.00538110607959,0.0054977106985,intermediate
15/3/16 13:00,0.0106282031111,0.00551904980368,bull
15/3/16 14:00,-0.00268997415581,0.00573537130174,intermediate
15/3/17 10:00,0.0128198067382,0.00481021140174,bull
15/3/17 11:00,0.000569531322741,0.0052599038946,intermediate
15/3/17 13:00,0.00439770463621,0.00526511578802,intermediate
15/3/17 14:00,-0.00277794866903,0.00527005153021,intermediate
15/3/18 10:00,0.0110679061401,0.00541099147551,bull
15/3/18 11:00,0.00278064104292,0.00570702752074,intermediate
15/3/18 13:00,0.00297592387754,0.00569284052464,intermediate
15/3/18 14:00,0.00221499621903,0.00526589697499,intermediate
15/3/19 10:00,0.00436465760378,0.00491611820846,intermediate
15/3/19 11:00,0.00384754877952,0.00487613940765,intermediate
15/3/19 13:00,0.00174409844851,0.00487594283724,intermediate
15/3/19 14:00,-0.00762030668332,0.00475093520861,intermediate
15/3/20 10:00,0.00623650761757,0.00527079163632,intermediate
15/3/20 11:00,0.0056595333924,0.00505326874192,intermediate
15/3/20 13:00,-0.00557968677069,0.00506943531506,intermediate
15/3/20 14:00,0.0184037390214,0.00516302104265,bull
15/3/23 10:00,0.00918772232949,0.00607403467849,bull
15/3/23 11:00,-0.00151204984442,0.00614597609019,intermediate
15/3/23 13:00,0.00617505611609,0.00626118802486,intermediate
15/3/23 14:00,-0.00781603265594,0.00609259591759,intermediate
15/3/24 10:00,0.00545418138825,0.00644972384098,intermediate
15/3/24 11:00,-0.00432136359495,0.0060996684718,intermediate
15/3/24 13:00,-0.00652325898037,0.00628692128156,intermediate
15/3/24 14:00,0.00772417577374,0.00658670877813,bull
15/3/25 10:00,0.00310302987559,0.00658770261465,intermediate
15/3/25 11:00,-0.000911404091221,0.0063059285346,intermediate
15/3/25 13:00,-0.007546302215,0.00634381395135,intermediate
15/3/25 14:00,0.00283539865305,0.00668010765513,intermediate
15/3/26 10:00,0.000634410227871,0.00668426450163,intermediate
15/3/26 11:00,0.000975191521361,0.0066577729448,intermediate
15/3/26 13:00,0.00279984304566,0.00663563771671,intermediate
15/3/26 14:00,0.00278900152457,0.00664303538694,intermediate
15/3/27 10:00,-0.0085454911091,0.00631827495637,intermediate
15/3/27 11:00,0.00454164783363,0.00662361752821,intermediate
15/3/27 13:00,0.00768140979937,0.00658995251922,bull
15/3/27 14:00,0.00137532602861,0.00655220837053,intermediate
15/3/30 10:00,0.00667878744069,0.00532514417394,intermediate
15/3/30 11:00,0.00748183848495,0.00515539390987,bull
15/3/30 13:00,0.000322085992822,0.00532534490113,intermediate
15/3/30 14:00,0.00552552205754,0.0052049750828,intermediate
15/3/31 10:00,0.0176157561252,0.0048856138393,bull
15/3/31 11:00,-0.00404305327044,0.00596468337424,intermediate
15/3/31 13:00,-0.00338652764798,0.00594973132231,intermediate
15/3/31 14:00,0.00174655167378,0.00575520175434,intermediate
15/4/1 10:00,-0.0134804117137,0.00562375169062,intermediate
15/4/1 11:00,0.00430675957322,0.0065573701013,intermediate
15/4/1 13:00,0.0102754359206,0.00656980196905,bull
15/4/1 14:00,-0.00268655706868,0.00648841074235,intermediate
15/4/2 10:00,0.00398848968883,0.00658110883432,intermediate
15/4/2 11:00,-0.00208220703236,0.00658358583167,intermediate
15/4/2 13:00,0.00158709051174,0.00664771218588,intermediate
15/4/2 14:00,-0.0100677697777,0.00664699541718,intermediate
15/4/3 10:00,0.0103554664335,0.00715041726712,bull
15/4/3 11:00,0.00562939027382,0.00701575721486,intermediate
15/4/3 13:00,-0.00542390871325,0.00703643691195,intermediate
15/4/3 14:00,0.00636929906666,0.00712755479821,intermediate
15/4/7 10:00,0.0151128987074,0.00719594574487,bull
15/4/7 11:00,0.00303385381606,0.00768613202926,intermediate
15/4/7 13:00,0.00356830453165,0.00760141360789,intermediate
15/4/7 14:00,-0.00370922109958,0.00759349042537,intermediate
15/4/8 10:00,0.0119678560136,0.00766961617791,bull
15/4/8 11:00,-0.0130871453688,0.0071751057109,intermediate
15/4/8 13:00,0.0128109437146,0.00777940066895,bull
15/4/8 14:00,0.0055381777377,0.00809633492562,intermediate
15/4/9 10:00,0.000249117516434,0.00813224096931,intermediate
15/4/9 11:00,-0.0133780383234,0.00731834419491,intermediate
15/4/9 13:00,0.00372175358865,0.00811805024966,intermediate
15/4/9 14:00,-0.00737728501371,0.00790703038869,intermediate
15/4/10 10:00,0.0100176317677,0.00810012991919,bull
15/4/10 11:00,0.00156161750183,0.00829910017151,intermediate
15/4/10 13:00,0.00981380898922,0.00825301993304,bull
15/4/10 14:00,-0.00330909056648,0.00842911135971,intermediate
15/4/13 10:00,0.0148626029376,0.00805213287331,bull
15/4/13 11:00,0.00277037998641,0.00832251417498,intermediate
15/4/13 13:00,0.00457844357082,0.00829890213777,intermediate
15/4/13 14:00,-0.000681274427329,0.00808965394816,intermediate
